Question ID,Question Text,Question Type,Required,Options,Option IDs,Option Weights,Option Descriptions,Option Sort Orders,Options JSON,Additional Instructions,Guidance,Allow Documents,Require Documents,Allow Comments,User Input Only,User Review Required,Document Type Slug Override,Response Mapping,External Idx,Sort Order,Section Name,Section Description,Section Sort Order,Section External Idx
cbqn_3bfa24ea9b564c5dbe988908b7e4f4fb,State the AML/CFT staffing dedicated to the program (team size or FTEs).,free_text,TRUE,,,,,,[],(DL #13),"Compare to institution size and complexity from public data; apparent under-resourcing is flagged for reviewer judgment, not auto-failed.",FALSE,FALSE,TRUE,FALSE,FALSE,,,BSA.12,12,Compliance Questionnaire (BSA Officer),"Deliberately short: Vantage’s compliance service performs network transaction screening, monitoring, sanctions checks, and alert handling — so we do not ask about those functions at intake. Questions about customer-facing compliance appear only at the pre-launch stage, when those functions become the bank’s. Two narrow artifacts are requested here: the APPROVAL PAGE of your AML policy (never the full manual) and the CONCLUSION SUMMARY of your most recent independent test (never workpapers, never examination material). (Items 13–16)",3,BSA
cbqn_aae6e2a2acf043aaa156b3877212f3fb,"State the date, tester, scope, overall conclusion, and open-finding status (with remediation dates) of the bank’s most recent independent AML test. Uploading the conclusion summary is OPTIONAL.",free_text,TRUE,,,,,,[],Conclusion level only — workpapers and examination materials are never requested and must not be submitted. The summary may be sighted pre-go-live as a condition if the response scores below Fully Met. (DL #15),"Verify date (12–24 months), tester independence, stated conclusion, and finding status with remediation dates from the in-form answer; if a summary is uploaded, verify against it. FLAG AND REJECT any examination material. If below Fully Met, auto-generate a pre-go-live condition to sight the conclusion summary. Key control — human review required.",TRUE,FALSE,TRUE,FALSE,TRUE,,,BSA.13,13,Compliance Questionnaire (BSA Officer),"Deliberately short: Vantage’s compliance service performs network transaction screening, monitoring, sanctions checks, and alert handling — so we do not ask about those functions at intake. Questions about customer-facing compliance appear only at the pre-launch stage, when those functions become the bank’s. Two narrow artifacts are requested here: the APPROVAL PAGE of your AML policy (never the full manual) and the CONCLUSION SUMMARY of your most recent independent test (never workpapers, never examination material). (Items 13–16)",3,BSA
cbqn_f51e782e19ea4ab6b0c9006a425731c1,Is the bank registered for information sharing under Section 314(b) of the USA PATRIOT Act?,select_one,TRUE,Yes|No|In Progress,cbqopt_c10ac4e5da6942a8a27000098997b48e|cbqopt_12dce85dd4264495b1a089a538b0b19d|cbqopt_c39b941ff75842ccaf2a9c1560dfcb89,1|0|0.5,In place|Not in place|Underway with dated plan,1|2|3,"[{""id"":""cbqopt_c10ac4e5da6942a8a27000098997b48e"",""name"":""Yes"",""description"":""In place"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_12dce85dd4264495b1a089a538b0b19d"",""name"":""No"",""description"":""Not in place"",""value"":0,""sort_order"":""2"",""is_archived"":false},{""id"":""cbqopt_c39b941ff75842ccaf2a9c1560dfcb89"",""name"":""In Progress"",""description"":""Underway with dated plan"",""value"":0.5,""sort_order"":""3"",""is_archived"":false}]","Upload the registration confirmation if available, or select In Progress and commit to registering before go-live (registration is free and takes about ten minutes). (DL #16)",Registration confirmed by document or dated commitment; an unregistered bank at go-live is a standing condition — 314(b) is the legal channel for inter-member information sharing. Key control.,TRUE,FALSE,TRUE,FALSE,TRUE,,,BSA.16,14,Compliance Questionnaire (BSA Officer),"Deliberately short: Vantage’s compliance service performs network transaction screening, monitoring, sanctions checks, and alert handling — so we do not ask about those functions at intake. Questions about customer-facing compliance appear only at the pre-launch stage, when those functions become the bank’s. Two narrow artifacts are requested here: the APPROVAL PAGE of your AML policy (never the full manual) and the CONCLUSION SUMMARY of your most recent independent test (never workpapers, never examination material). (Items 13–16)",3,BSA
cbqn_cf4b638e20f8432487c98330386419b7,"MANDATORY DOCUMENT (2 of 2): Upload your completed, signed Wolfsberg Correspondent Banking Due Diligence Questionnaire (CBDDQ), dated within the last 12 months. State in the comment whether the bank maintains foreign correspondent accounts or exposure.",free_text,TRUE,,,,,,[],One of only two documents required in this onboarding. The CBDDQ is the industry-standard correspondent questionnaire; its answers feed cross-checks throughout this intake. (DL #13),"Verify the CBDDQ is complete (all sections answered), signed, and dated within twelve months. Partially Met if minor sections blank; Not Met if unsigned or older than twelve months. Cross-check the foreign-correspondent-exposure statement in the comment against CBDDQ content and public structure data. Key control — human review required.",TRUE,TRUE,TRUE,FALSE,TRUE,questionnaire_response,,,15,Compliance Questionnaire (BSA Officer),"Deliberately short: Vantage’s compliance service performs network transaction screening, monitoring, sanctions checks, and alert handling — so we do not ask about those functions at intake. Questions about customer-facing compliance appear only at the pre-launch stage, when those functions become the bank’s. Two narrow artifacts are requested here: the APPROVAL PAGE of your AML policy (never the full manual) and the CONCLUSION SUMMARY of your most recent independent test (never workpapers, never examination material). (Items 13–16)",3,BSA
cbqn_4e0262cfe68c42fbb8099cdbc78e9b38,"List any trade names or DBAs under which network-facing products will be offered, or attest none.",select_one,TRUE,Yes|None to disclose,cbqopt_968a7b7d9256437fb0e7a30592fae6b8|cbqopt_5b040aad86484a6d86e4b3243a4b9510,1|1,Disclosure provided in comment|Attested none,1|2,"[{""id"":""cbqopt_968a7b7d9256437fb0e7a30592fae6b8"",""name"":""Yes"",""description"":""Disclosure provided in comment"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_5b040aad86484a6d86e4b3243a4b9510"",""name"":""None to disclose"",""description"":""Attested none"",""value"":1,""sort_order"":""2"",""is_archived"":false}]",Assumed names matter for customer disclosures: a DBA that does not match the insured legal name is the insured/uninsured confusion mode the disclosure control exists to prevent. (Add-on 1),Record trade names for cross-check at Stage 2: LEG.02 final disclosures must present the insured legal name wherever a DBA is used. Verify listed names against state assumed-name filings where available.,FALSE,FALSE,TRUE,FALSE,FALSE,,,REG.01A,16,Institution Profile & Contacts,"Identity fields are pre-filled by Vantage from public FDIC/Federal Reserve records — confirm or correct only. Provide contacts, console users, intended use, and your integration model election. (Decision List items 5, 7, 9, 10, 11)",1,INST
cbqn_b13c2a422a9646f0a7517e9b7011b350,Name your primary contact for the Hazel relationship.,contacts,TRUE,,,,,,[],Format: Name | Title | Email | Phone. (DL #7),Primary contact named; cross-check each signer against the board resolution signer list — any signer absent from the resolution fails the completeness test.,FALSE,FALSE,TRUE,TRUE,FALSE,,,,17,Institution Profile & Contacts,"Identity fields are pre-filled by Vantage from public FDIC/Federal Reserve records — confirm or correct only. Provide contacts, console users, intended use, and your integration model election. (Decision List items 5, 7, 9, 10, 11)",1,INST
cbqn_02ec3d07755f44e6905bceb53e94140d,"Disclose any outside programs that would transact through the bank’s network access — fintech partnerships, banking-as-a-service programs, money services businesses, digital-asset companies, payment intermediaries — or certify none.",select_one,TRUE,Yes|None to disclose,cbqopt_e42da54cb7f5427cae08e09ab2ee809e|cbqopt_7930e08d732f40ffa18bfe4a6f195074,1|1,Disclosure provided|Attested none,1|2,"[{""id"":""cbqopt_e42da54cb7f5427cae08e09ab2ee809e"",""name"":""Yes"",""description"":""Disclosure provided"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_7930e08d732f40ffa18bfe4a6f195074"",""name"":""None to disclose"",""description"":""Attested none"",""value"":1,""sort_order"":""2"",""is_archived"":false}]",One checkbox if the answer is none. Each disclosed program requires an acknowledgment that future programs require prior notice. (DL #17),"Undisclosed partner programs riding bank access are the largest industry-wide loss source in partner banking. A clear none, or each program listed with the prior-notice acknowledgment. Reconcile against stated use cases. Key control — human review required.",FALSE,FALSE,TRUE,FALSE,TRUE,,,NET.03,18,Program Certification & Disclosures,"Outside programs riding your network access, public enforcement history, relevant lawsuits, and your regulator-notification assessment. Facts and outcomes only — never examination materials, never counsel’s legal analysis. (Items 17–19)",4,DISC
cbqn_3d18e42c9e4e46fd9462923ff0a16d89,"Disclose public enforcement history relevant to the relationship, or certify none.",select_one,TRUE,Yes|None to disclose,cbqopt_4747fd87577a4bf580e685d20f98785c|cbqopt_8c734eda2f354f78b0de46cff50ab1cc,1|1,Disclosure provided|Attested none,1|2,"[{""id"":""cbqopt_4747fd87577a4bf580e685d20f98785c"",""name"":""Yes"",""description"":""Disclosure provided"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_8c734eda2f354f78b0de46cff50ab1cc"",""name"":""None to disclose"",""description"":""Attested none"",""value"":1,""sort_order"":""2"",""is_archived"":false}]",Public and formal matters only — never describe confidential supervisory matters. Completed by legal counsel. (DL #18),Cross-check against Vantage’s own public-record screen; a mismatch caps the score and routes to review. REJECT any confidential supervisory information. Key control — human review required.,FALSE,FALSE,TRUE,FALSE,TRUE,,,REG.04,19,Program Certification & Disclosures,"Outside programs riding your network access, public enforcement history, relevant lawsuits, and your regulator-notification assessment. Facts and outcomes only — never examination materials, never counsel’s legal analysis. (Items 17–19)",4,DISC
cbqn_044ed8156a4e4d4f89e9f4b5b02b6139,"Disclose lawsuits touching payments, anti-money-laundering, or technology that are relevant to this relationship, or certify none.",select_one,TRUE,Yes|None to disclose,cbqopt_f172f43c6c7640e498b547bf51960d4b|cbqopt_5cf3dd6950df484fa26273fa1dbfd42d,1|1,Disclosure provided|Attested none,1|2,"[{""id"":""cbqopt_f172f43c6c7640e498b547bf51960d4b"",""name"":""Yes"",""description"":""Disclosure provided"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_5cf3dd6950df484fa26273fa1dbfd42d"",""name"":""None to disclose"",""description"":""Attested none"",""value"":1,""sort_order"":""2"",""is_archived"":false}]",Scoped to matters relevant to the relationship. (DL #18),Litigation of this kind is not reliably public — evaluate scope and consistency with the public record; facts and outcomes only.,FALSE,FALSE,TRUE,FALSE,FALSE,,,LEG.01,20,Program Certification & Disclosures,"Outside programs riding your network access, public enforcement history, relevant lawsuits, and your regulator-notification assessment. Facts and outcomes only — never examination materials, never counsel’s legal analysis. (Items 17–19)",4,DISC
cbqn_3a4aba7e72bc45d3a0ef84ceec0f44b1,Record that the bank assessed its own regulator-notification obligations for this activity: which regulators were considered and the outcome.,free_text,TRUE,,,,,,[],"A board minute reference or a short attestation stating regulators considered and outcome (notified / determined not applicable / other). The assessment is the bank’s own work — Vantage asks only for the fact that it happened and its outcome, never counsel’s legal analysis. (DL #19)",Regulators identified; outcome stated. Do not request or accept legal memoranda — attorney analysis risks privilege waiver; facts and outcomes only. Key control.,FALSE,FALSE,TRUE,FALSE,TRUE,,,GOV.05,21,Program Certification & Disclosures,"Outside programs riding your network access, public enforcement history, relevant lawsuits, and your regulator-notification assessment. Facts and outcomes only — never examination materials, never counsel’s legal analysis. (Items 17–19)",4,DISC
cbqn_8647f9845362482cb14a79eecdeebf6d,Attestation: a written information security program is in place.,select_one,TRUE,Yes|No,cbqopt_f6a89c42649849f78c42473dd0eb8dd6|cbqopt_d71f13afb0524ce082466b24121e25a8,1|0,In place|Not in place,1|2,"[{""id"":""cbqopt_f6a89c42649849f78c42473dd0eb8dd6"",""name"":""Yes"",""description"":""In place"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_d71f13afb0524ce082466b24121e25a8"",""name"":""No"",""description"":""Not in place"",""value"":0,""sort_order"":""2"",""is_archived"":false}]",(DL #20),Attestation recorded; owner should match the ISO named in key contacts.,FALSE,FALSE,TRUE,FALSE,FALSE,,,ISEC.01,22,Security & Operations Attestations,Officer attestations from your Information Security Officer and operations lead. (Item 20),5,SEC
cbqn_d83447bc3d7a4a13af56ae85996fdb5e,"Attestation: incident response was tested in the last twelve months, and the bank commits to notifying Vantage within thirty-six hours of determining a security incident materially affects network access.",select_one,TRUE,Yes|No,cbqopt_d6dd5a8da9d14e60bdccf9dcfe569f63|cbqopt_94f31be75c3247c7896acabb40942c99,1|0,In place|Not in place,1|2,"[{""id"":""cbqopt_d6dd5a8da9d14e60bdccf9dcfe569f63"",""name"":""Yes"",""description"":""In place"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_94f31be75c3247c7896acabb40942c99"",""name"":""No"",""description"":""Not in place"",""value"":0,""sort_order"":""2"",""is_archived"":false}]",State the test date in the comment. (DL #20),Test date within twelve months; the 36-hour commitment must be affirmed.,FALSE,FALSE,TRUE,FALSE,FALSE,,,ISEC.06,23,Security & Operations Attestations,Officer attestations from your Information Security Officer and operations lead. (Item 20),5,SEC
cbqn_2c32914ee9cc48ac9c29beb581b86acc,Attestation: business continuity planning covers network activity.,select_one,TRUE,Yes|No,cbqopt_83804c5952c64889abe39821869ac8ff|cbqopt_40954a97c6a5466984edb5ecc2d4d178,1|0,In place|Not in place,1|2,"[{""id"":""cbqopt_83804c5952c64889abe39821869ac8ff"",""name"":""Yes"",""description"":""In place"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_40954a97c6a5466984edb5ecc2d4d178"",""name"":""No"",""description"":""Not in place"",""value"":0,""sort_order"":""2"",""is_archived"":false}]",(DL #20),Attestation recorded.,FALSE,FALSE,TRUE,FALSE,FALSE,,,OPR.01,24,Security & Operations Attestations,Officer attestations from your Information Security Officer and operations lead. (Item 20),5,SEC
cbqn_8d198b38683d4ff1a8e063b782150698,Attestation: the settlement account is reconciled on every day with activity.,select_one,TRUE,Yes|No,cbqopt_1b48a98d5b91462d906e5a8345205fc8|cbqopt_cc709e6ac3b94ccb82923994210a2f41,1|0,In place|Not in place,1|2,"[{""id"":""cbqopt_1b48a98d5b91462d906e5a8345205fc8"",""name"":""Yes"",""description"":""In place"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_cc709e6ac3b94ccb82923994210a2f41"",""name"":""No"",""description"":""Not in place"",""value"":0,""sort_order"":""2"",""is_archived"":false}]",(DL #20),Attestation recorded; reconciliation cadence is monitored post-admission. Key control.,FALSE,FALSE,TRUE,FALSE,TRUE,,,OPR.05,25,Security & Operations Attestations,Officer attestations from your Information Security Officer and operations lead. (Item 20),5,SEC
cbqn_cfb09418b6af4b5793d6a35c622ae789,"Complete the insurance schedule in-form: for each line (financial institution bond, cyber liability, professional liability) state carrier, policy number, limit, and expiration. Uploading certificates is OPTIONAL.",free_text,TRUE,,,,,,[],No certificates are required at intake — the schedule is certified in-form. Certificates may be sighted pre-go-live as a condition if the response scores below Fully Met. (DL #21),"Verify all three lines with carrier, limit, and current expiration; compare limits to institution size. If certificates are uploaded, reconcile against the schedule. If below Fully Met, auto-generate a pre-go-live condition to provide certificates. Key control — human review required.",TRUE,FALSE,TRUE,FALSE,TRUE,certificate_of_insurance_acord_25,,OPR.04,26,Insurance,"Certificates for financial institution bond, cyber liability, and professional liability, plus one question for your insurance broker. (Item 21)",6,INS
cbqn_842601c22f8c4a9bb751b167c2f1b1bc,"Broker question: does the coverage respond to tokenized-deposit activity, or is it excluded?",select_one,TRUE,Confirmed — coverage responds to tokenized-deposit activity|Exclusion identified (disclosed below)|Broker confirmation pending,cbqopt_e37025e50832436e9ed32209f0782418|cbqopt_7cd3aa1b945346b88644d50f069d1346|cbqopt_12027acb9ef341a5921bd48280e5e74c,1|0.5|0.5,Broker confirmed|Exclusion disclosed|Pending,1|2|3,"[{""id"":""cbqopt_e37025e50832436e9ed32209f0782418"",""name"":""Confirmed — coverage responds to tokenized-deposit activity"",""description"":""Broker confirmed"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_7cd3aa1b945346b88644d50f069d1346"",""name"":""Exclusion identified (disclosed below)"",""description"":""Exclusion disclosed"",""value"":0.5,""sort_order"":""2"",""is_archived"":false},{""id"":""cbqopt_12027acb9ef341a5921bd48280e5e74c"",""name"":""Broker confirmation pending"",""description"":""Pending"",""value"":0.5,""sort_order"":""3"",""is_archived"":false}]","One conversation with the bank’s broker at intake; written broker confirmation is collected at the pre-launch stage. (DL #21, #27)",Answer recorded; “exclusion identified” or “pending” creates a pre-launch condition to obtain written broker confirmation (Stage 2).,FALSE,FALSE,TRUE,FALSE,FALSE,,,OPR.04B,27,Insurance,"Certificates for financial institution bond, cyber liability, and professional liability, plus one question for your insurance broker. (Item 21)",6,INS
